,left
6783,0
13669,0
13378,0
7219,0
3027,0
4690,0
11140,0
8828,0
7925,0
10720,0
14803,1
3695,0
4684,0
5738,0
10360,0
3605,0
6691,0
2396,0
11787,0
10467,0
244,1
13182,0
2466,0
3296,0
12822,0
1111,1
14391,1
10898,0
3204,0
11245,0
4830,0
8212,0
11646,0
1833,1
14299,1
2026,0
12942,0
4563,0
3257,0
13430,0
9858,0
5269,0
5383,0
8045,0
3331,0
4207,0
814,1
11911,0
13773,0
8452,0
5874,0
11883,0
13101,0
10783,0
14724,1
10441,0
10603,0
2373,0
10639,0
1238,1
5299,0
11292,0
10732,0
9325,0
3297,0
9552,0
9563,0
11697,0
8433,0
6407,0
7818,0
7719,0
198,1
1696,1
4211,0
7248,0
12916,0
13034,0
4649,0
12895,0
12506,1
7051,0
8787,0
2672,0
9423,0
6508,0
1760,1
8727,0
14619,1
13255,0
9232,0
13798,0
5893,0
5599,0
12591,1
6098,0
7389,0
6513,0
10592,0
4481,0
13764,0
2228,0
10409,0
9522,0
12585,1
9632,0
265,1
10730,0
3647,0
6848,0
7043,0
6815,0
13080,0
4435,0
11931,0
10197,0
1084,1
14322,1
2358,0
13753,0
652,1
3991,0
2673,0
12736,1
3195,0
375,1
14734,1
1147,1
4273,0
8873,0
6652,0
5129,0
5644,0
12848,0
11778,0
2465,0
658,1
1572,1
2664,0
9746,0
13180,0
8497,0
13249,0
7222,0
5789,0
6516,0
13350,0
14165,0
11574,0
3632,0
5008,0
9214,0
7710,0
1682,1
1083,1
2620,0
1643,1
9605,0
3319,0
12610,1
2957,0
7528,0
5430,0
2133,0
12345,1
14034,0
14630,1
2899,0
12373,1
4843,0
1371,1
2801,0
1740,1
5770,0
2712,0
3177,0
4330,0
13975,0
4578,0
7231,0
13390,0
2165,0
14850,1
14024,0
4229,0
10615,0
10819,0
4191,0
5168,0
5295,0
14672,1
8782,0
991,1
10573,0
11796,0
6117,0
1327,1
1074,1
737,1
4489,0
5866,0
12824,0
9481,0
9101,0
14308,1
5000,0
5879,0
3701,0
4906,0
4391,0
12387,1
2330,0
11311,0
2892,0
6438,0
11185,0
8300,0
13512,0
6475,0
6822,0
12371,1
11424,0
9831,0
2418,0
2663,0
1743,1
14760,1
25,1
577,1
8517,0
3113,0
3171,0
7946,0
421,1
14313,1
4595,0
5987,0
2444,0
8690,0
2975,0
11993,0
5352,0
5740,0
11420,0
10853,0
5885,0
3868,0
2603,0
13481,0
10111,0
9913,0
5795,0
3883,0
10860,0
8421,0
14691,1
77,1
4562,0
13517,0
9397,0
10185,0
8281,0
13634,0
14198,0
6643,0
9242,0
11453,0
8932,0
8161,0
2322,0
3412,0
5822,0
13931,0
4189,0
3389,0
8272,0
13628,0
5404,0
12414,1
9978,0
12461,1
7762,0
14608,1
3548,0
4345,0
13271,0
10325,0
13217,0
13373,0
13779,0
2501,0
1517,1
10033,0
14175,0
13834,0
13952,0
2221,0
2535,0
13377,0
4218,0
552,1
8159,0
5409,0
10717,0
10800,0
8336,0
701,1
13157,0
12970,0
4492,0
13941,0
6618,0
3717,0
412,1
11042,0
2623,0
9235,0
11379,0
12752,1
3358,0
1588,1
855,1
5821,0
13894,0
12014,1
13370,0
6029,0
12260,1
5806,0
10715,0
4937,0
4724,0
2451,0
1227,1
1604,1
10746,0
3527,0
3664,0
1455,1
10635,0
10951,0
3158,0
14599,1
9383,0
10638,0
10251,0
14637,1
13943,0
